"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG"
"159",2690,1,"2011-01-01 00:00:00.0","ОАО ""Пермская энергосбытовая компания""","PERMENER","PPERMENE","57",272134.519088095
"160",2690,1,"2011-01-01 00:00:00.0","ОАО ""Псковэнергосбыт""","PSKOVENE","PPSKOVEN","58",356753.71141846
"161",2690,1,"2011-01-01 00:00:00.0","ОАО ""Пятигорские электрические сети""","PYATELSE","PPYATELS","07",285844.537056284
"162",2690,1,"2011-01-01 00:00:00.0","ООО ""Региональная Энергосбытовая Компания""","REKKURSK","PREKKUR1","38",279242.740556196
"163",2690,1,"2011-01-01 00:00:00.0","ООО ""Региональная Энергосбытовая Компания""","REKKURSK","PREKKUR2","38",276352.190259651
"164",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO1","41",362003.525835271
"165",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO2","41",199801.6578
"166",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO3","41",357483.266515233
"167",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO4","41",358801.791189392
"168",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO5","41",353780.828596611
"169",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO6","41",318620.862954145
"170",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO7","41",365139.192159407
"171",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO8","41",355889.753083688
"172",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSELO9","41",358173.881056475
"173",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL10","41",356098.262935209
"174",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL11","41",359906.897902574
"175",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL12","41",355592.323993184
"176",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL13","41",366631.8502394
"177",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL14","41",357286.108537182
"178",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL15","41",358868.907063726
"179",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL16","41",374125.497961635
"180",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL17","41",359027.355561112
"181",2690,1,"2011-01-01 00:00:00.0","ООО ""РКС-энерго""","RKSENERG","PRKSEL18","41",357831.575994158
"182",2690,1,"2011-01-01 00:00:00.0","ОАО ""Роскоммунэнерго""","ROSKOMEN","PROSKOM1","65",276896.489985608
"183",2690,1,"2011-01-01 00:00:00.0","ОАО ""Энергосбыт Ростовэнерго""","ROSTOVEN","PROSTOVE","60",276815.105093555
"184",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDKL","47",300713.662168414
"185",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDLE","41",352654.985059646
"186",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDRK","86",356716.837421384
"187",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDS2","95",147176.172587182
"188",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGDVL","17",272825.153061399
"189",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD01","18",272360.411116474
"190",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD03","89",265044.242211807
"191",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD07","33",267673.067235304
"192",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD13","18",274898.327814407
"193",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD24","18",277570.140715163
"194",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ""","RUSENSBI","PRUSGD25","18",271505.162244773
