"","SESSION_ID","FINAL_CALCULATION_FLAG","TDATE","PNAME","PCODE","TCODE","REGION_CODE","P_NC_UNREG_AVG","P_VC_UNREG_AVG"
"80",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS18","24",275916.277512228,937.663136080127
"81",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS19","24",342629.152216958,1076.68923713231
"82",2690,1,"2011-01-01 00:00:00.0","ООО ""Энергосетевая компания""","IVENERSK","PIVENS20","24",279601.472063074,954.716751855555
"83",2690,1,"2011-01-01 00:00:00.0","ОАО ""Каббалкэнерго""","KABBAGEN","PKABBAGE","83",159795.9286,392.607327532438
"84",2690,1,"2011-01-01 00:00:00.0","ОАО ""Калмэнергосбыт""","KALMENER","PKALMENE","85",279165.159762743,1004.74587805255
"85",2690,1,"2011-01-01 00:00:00.0","ОАО ""Калужская сбытовая компания""","KALUGENE","PKALUGEN","29",277901.238111148,963.690942070856
"86",2690,1,"2011-01-01 00:00:00.0","ОАО ""Карельская энергосбытовая компания""","KARELENE","PKARELEN","86",357425.401651542,928.394171003516
"87",2690,1,"2011-01-01 00:00:00.0","ОАО ""Карачаево-Черкесскэнерго""","KCHERKEN","PKCHERKE","91",165434.5252,384.111466036176
"88",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кировэнергосбыт""","KIROVENE","PKIROVEN","33",270412.111395136,962.548696249718
"89",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кольская энергосбытовая компания""","KOLENERG","PKOLENER","47",304936.997511541,777.141566087188
"90",2690,1,"2011-01-01 00:00:00.0","ОАО ""Королевская электросеть СК""","KOROLSET","PKORELS1","46",318735.342302101,931.427970236299
"91",2690,1,"2011-01-01 00:00:00.0","ОАО ""Костромская сбытовая компания""","KOSTRENE","PKOSTREN","34",277200.730024267,946.608353196356
"92",2690,1,"2011-01-01 00:00:00.0","ОАО ""Красногорская электрическая сеть""","KRASNGOR","PKRAELS1","46",319118.386530717,926.27580988733
"93",2690,1,"2011-01-01 00:00:00.0","ОАО ""Красноярскэнергосбыт""","KRASNOEN","PKRASNEN","04",163937.626733001,532.712698067866
"94",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кубанская энергосбытовая компания""","KUBANESK","PKUBANEN","03",296525.975914098,1093.28992836391
"95",2690,1,"2011-01-01 00:00:00.0","ОАО ""Энергосбыт"" (г.Курган)","KURGENRG","PKURGANE","37",275984.992511901,928.174095089024
"96",2690,1,"2011-01-01 00:00:00.0","ОАО ""Курская энергосбытовая компания""","KURSKENE","PKURSKEN","38",288782.724979757,919.420884802654
"97",2690,1,"2011-01-01 00:00:00.0","ОАО ""Кузбассэнергосбыт""","KUZBSBYT","PKUZBENE","32",186404.152279881,598.526380843529
"98",2690,1,"2011-01-01 00:00:00.0","ОАО ""Петербургская сбытовая компания""","LENENERG","PLENENER","41",355775.127012478,918.585544526213
"99",2690,1,"2011-01-01 00:00:00.0","ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB1","42",287510.584934844,979.643506215095
"100",2690,1,"2011-01-01 00:00:00.0","ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB2","42",285944.702316289,1003.9838944937
"101",2690,1,"2011-01-01 00:00:00.0","ООО ""Городская энергосбытовая компания"" (г.Липецк)","GORODESK","PLGORSB3","42",286567.661697312,976.505326273517
"102",2690,1,"2011-01-01 00:00:00.0","ОАО ""Липецкая энергосбытовая компания""","LIPECKEN","PLIPECKE","42",281369.498987809,967.289244448408
"103",2690,1,"2011-01-01 00:00:00.0","ООО ""Магнитогорская энергетическая компания""","MAGNENKO","PMAGENKO","75",274469.393528902,941.058219241277
"104",2690,1,"2011-01-01 00:00:00.0","ОАО ""Мариэнергосбыт""","MARIENER","PMARIENE","88",312716.933936697,971.113575388814
"105",2690,1,"2011-01-01 00:00:00.0","ООО ""Металлэнергофинанс""","METALENE","PMETALEN","32",206382.143317731,624.015868390944
"106",2690,1,"2011-01-01 00:00:00.0","ОАО ""Мордовская энергосбытовая компания""","MORDOVEN","PMORDOVE","89",269418.545709024,975.159368945349
"107",2690,1,"2011-01-01 00:00:00.0","ОАО ""Мосэнергосбыт""","MOSENERG","PMOSENER","46",316291.010583675,931.72539101195
"108",2690,1,"2011-01-01 00:00:00.0","ООО ""РУСЭНЕРГОСБЫТ М""","RUSENSBM","PMRUSGD1","46",311918.288600466,946.105242179994
"109",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA1","03",275921.902398282,1107.2090433819
"110",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA2","03",270600.669653419,1084.53316370578
"111",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA3","03",271889.079123515,1080.19579436422
"112",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA4","03",269912.873887233,1060.87283315495
"113",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA5","03",277668.297387737,1152.08023683266
"114",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA6","03",268898.8848688,1079.72532438305
"115",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA7","03",269282.694289492,1036.74592353107
"116",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA8","03",276992.64285816,1137.3727038269
"117",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKRA9","03",267684.703098231,1108.92260589596
"118",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR10","03",269251.023624801,1159.92921076594
"119",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR11","03",268604.782920825,1115.30915902545
"120",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR12","03",270065.577771445,1126.11716630555
"121",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR13","03",269993.406533472,1058.3507631872
"122",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR14","03",449189.510756409,1099.69715914091
"123",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR15","03",266322.434631051,1109.54216231821
"124",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR16","03",270673.445231985,1081.4690533902
"125",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR17","03",269688.160280916,1159.11160320063
"126",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR18","03",268727.239490756,1037.71766844513
"127",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR19","03",268674.131789293,1052.22316568751
"128",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR20","03",209752.8424,1125.49649727532
"129",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR21","03",274942.552704633,1122.06665037969
"130",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR22","03",276373.962645509,1116.15513721437
"131",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR23","03",276113.985375915,1121.28677819361
"132",2690,1,"2011-01-01 00:00:00.0","ОАО ""НЭСК""","NESKKRSN","PNESKR25","03",209752.8424,565.92
"133",2690,1,"2011-01-01 00:00:00.0","ОАО ""Нижегородская сбытовая компания""","NIGNOVEN","PNIGNOVE","22",284345.648438929,972.785993293688
"134",2690,1,"2011-01-01 00:00:00.0","ООО ""Новомосковская энергосбытовая компания""","NOVMOSSK","PNOMESK1","70",278858.10325234,987.501201338479
"135",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK1","49",354168.732193673,939.908384641343
"136",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK2","49",354331.198877558,922.676413918091
"137",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK3","49",354007.730162594,927.346523218377
"138",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK4","49",353768.869008788,929.490046767137
"139",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK5","49",353629.189102146,997.658256709965
"140",2690,1,"2011-01-01 00:00:00.0","ООО ""Новгородская энергосбытовая компания""","NOVGSBYT","PNOVESK6","49",354702.962339214,914.724511253777
"141",2690,1,"2011-01-01 00:00:00.0","ОАО ""Новгородская энергосбытовая компания""","NOVGOREN","PNOVGORE","49",357355.129366615,914.897781311613
"142",2690,1,"2011-01-01 00:00:00.0","ОАО ""СибирьЭнерго""","SBRENERG","PNOVOSIB","50",165610.640194207,547.304259129199
"143",2690,1,"2011-01-01 00:00:00.0","ООО ""Новоуральская энергосбытовая компания""","NOVOYRAL","PNUESBK1","65",278564.071921683,895.218394126829
"144",2690,1,"2011-01-01 00:00:00.0","ОАО ""Нурэнерго""","NURENERG","PNURENER","96",76441.0910388013,398.940619389582
"145",2690,1,"2011-01-01 00:00:00.0","ООО ""Нижневартовская Энергосбытовая компания""","OOONESKO","PNVAREK1","71",284462.382704033,853.280600688143
"146",2690,1,"2011-01-01 00:00:00.0","ОАО ""Обеспечение РФЯЦ-ВНИИЭФ""","OBESPRFC","POBESPE1","22",273135.9862,954.772589387171
"147",2690,1,"2011-01-01 00:00:00.0","МУП ""Объединение ""Истринские Электросети""","ISTRSETI","POISTRS1","46",327173.86248021,943.310274763024
"148",2690,1,"2011-01-01 00:00:00.0","МУП ""Объединение ""Истринские Электросети""","ISTRSETI","POISTRS2","46",321970.724496753,953.13429288812
"149",2690,1,"2011-01-01 00:00:00.0","ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKENE","52",206158.877466697,627.735153769458
"150",2690,1,"2011-01-01 00:00:00.0","ОАО ""Омская энергосбытовая компания""","OMSKENER","POMSKEZN","52",276480.246,965.853706930412
"151",2690,1,"2011-01-01 00:00:00.0","ОАО ""Орловская сбытовая компания""","ORELENER","PORELENE","54",292366.545189178,952.371551112184
"152",2690,1,"2011-01-01 00:00:00.0","ОАО ""Оренбургэнергосбыт""","ORENBENE","PORENBEN","53",282080.451386632,962.571109485065
"153",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL1","53",276255.798658686,945.367792251502
"154",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL2","53",277596.334618669,955.233969686837
"155",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL3","53",279178.751549789,949.348396410059
"156",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL4","53",277152.858112204,968.847189526798
"157",2690,1,"2011-01-01 00:00:00.0","ЗАО ""Оренбургсельэнергосбыт""","ORSELSBT","PORENSL5","53",277858.967335738,965.765705943589
