"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"396",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR336","22","Нижегородская область","FZZNOE24",1293.32,185564.46
"397",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR337","86","Республика Карелия","FZSZOE27",1036.91,340412
"398",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR341","61","Рязанская область","FZZNOE24",1417.09,226529.65
"399",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR342","61","Рязанская область","FZZNOE24",1687.8,188983.62
"400",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR343","66","Смоленская область","FZZNOE24",1087.92,457305.53
"401",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR346","04","Красноярский край","FZSBOE01",927.17,469445.87
"402",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR349","38","Курская область","FZZNOE24",1076.2,408942.68
"403",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR350","41","Ленинградская область","FZSZOE27",1128.53,486397.77
"404",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR357","46","Московская область","FZZMSK26",1219.5,400143.19
"405",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR358","04","Красноярский край","FZSBOE01",944.3,430773.5
"406",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR360","04","Красноярский край","FZSBOE01",1063.71,491228.51
"407",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR361","94","Удмуртская Республика","FZURKR12",1202.33,440223.35
"408",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR364","24","Ивановская область","FZZNOE24",1170.84,428907.66
"409",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR366","20","Воронежская область","FZZNOE24",1232.36,173494.83
"410",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR370","75","Челябинская область","FZUROE07",1260.73,266395.87
"411",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR371","46","Московская область","FZZMSK26",1223.71,434189.19
"412",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR374","28","Тверская область","FZZNOE24",1129.43,355269.92
"413",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR378","65","Свердловская область","FZUROE07",1148.09,551041.17
"414",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR380","65","Свердловская область","FZUROE07",1065.21,459565.37
"415",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR381","66","Смоленская область","FZZNOE24",1074.14,208441.72
"416",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR385","80","Республика Башкортостан","FZUROE07",1435.7,153570.5
"417",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR388","17","Владимирская область","FZZNOE24",1718.39,127193.33
"418",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR389","78","Ярославская область","FZZNOE24",1292.24,414706.6
"419",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBOR392","76200","Забайкальский край","FZSBCH04",755.54,663957.51
