TDATE;PCODE;PNAME;REGION_CODE;TCODE;P_NC_UNREG_AVG
2011-01-01;SARGORES;"ООО ""Саратовское предприятие городских электрических сетей""";63;PSARELS1;271242.99088
2011-01-01;SEVKAVEN;"ОАО ""Севкавказэнерго""";90;PSEVKAVE;231913.59355
2011-01-01;SMOLENER;"ОАО ""Смоленскэнергосбыт""";66;PSMOLENE;285111.33369
2011-01-01;STAVRENE;"ОАО ""Ставропольэнергосбыт""";07;PSTAVREN;302822.56145
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM10;289317.35543
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM11;287360.37748
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM12;285287.92149
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM13;285086.28058
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM14;288796.73111
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM15;282124.69676
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM16;285148.00627
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM17;287557.10196
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM18;286362.85806
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM19;285996.82835
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM20;282946.58841
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOM21;279819.82805
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME1;287148.44875
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME2;283101.17107
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME3;288497.95574
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME4;281710.06297
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME5;287014.14251
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME6;283614.87079
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME7;283709.63725
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME8;287021.36449
2011-01-01;STAVRKOM;"ГУП Ставропольского края ""Ставрополькоммунэлектро""";07;PSTKOME9;286335.0998
2011-01-01;SVERDLEN;"ОАО ""Свердловэнергосбыт""";65;PSVERDLE;286880.66356
2011-01-01;TAMBOVEN;"ОАО ""Тамбовская энергосбытовая компания""";68;PTAMBOVE;284390.21122
2011-01-01;TATENERG;"ОАО ""Татэнергосбыт""";92;PTATENER;282538.28462
2011-01-01;GPTOLESB;"ОАО ""Тольяттинская энергосбытовая компания""";36;PTEKOMP1;277918.11877
2011-01-01;TOLLENSB;"ООО ""ТольяттиЭнергоСбыт""";36;PTOLESB1;283741.18404
2011-01-01;TOLLENSB;"ООО ""ТольяттиЭнергоСбыт""";36;PTOLESB2;268691.29396
2011-01-01;TOMSKENE;"ОАО ""Томская энергосбытовая компания""";69;PTOMSKEN;159384.46884
2011-01-01;TOMSKENE;"ОАО ""Томская энергосбытовая компания""";69;PTOMSKES;276480.246
2011-01-01;TOSKTOSK;"ОАО ""Тамбовская областная сбытовая компания""";68;PTOSKOM1;279205.92059
2011-01-01;TROIELST;"МУП ""Троицкая электросеть""";46;PTROELS1;317507.99587
2011-01-01;TULENERG;"ОАО ""Тульская сбытовая компания""";70;PTULENER;287474.13428
2011-01-01;TUMENENE;"ОАО ""Тюменская энергосбытовая компания""";71;PTUMENEN;283267.78406
2011-01-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG1;309247.27229
2011-01-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG2;285881.59748
2011-01-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG3;296399.25231
2011-01-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG4;286780.04725
2011-01-01;TUMENESB;"ОАО ""Тюменьэнергосбыт""";71;PTUMREG5;282854.74371
2011-01-01;TUVASBYT;"ОАО ""Тываэнергосбыт""";93;PTUVENER;106972.07589
2011-01-01;TVERENER;"ОАО ""Тверская энергосбытовая компания""";28;PTVERENE;279341.59448
2011-01-01;TVEROBLE;"ООО ""Тверская областная энергосбытовая компания""";28;PTVOBSK1;276499.55341
2011-01-01;TVEROBLE;"ООО ""Тверская областная энергосбытовая компания""";28;PTVOBSK2;276857.37378
2011-01-01;TVEROBLE;"ООО ""Тверская областная энергосбытовая компания""";28;PTVOBSK3;282423.00157
2011-01-01;TVEROBLE;"ООО ""Тверская областная энергосбытовая компания""";28;PTVOBSK4;272297.26735
2011-01-01;UDMURTEN;"ОАО ""Удмуртская энергосбытовая компания""";94;PUDMURTE;271938.4419
2011-01-01;ULYANENE;"ОАО ""Ульяновскэнерго""";73;PULYANEN;269967.71306
2011-01-01;VOLGAESB;"ЗАО ""Волгаэнергосбыт""";22;PVENESB1;282887.02235
2011-01-01;VITIMENS;"ЗАО ""Витимэнергосбыт""";25;PVITENSB;164422.50581
2011-01-01;VLADIMEN;"ОАО ""Владимирская энергосбытовая компания""";17;PVLADIME;278074.81419
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSI10;277624.19744
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS1;276705.88418
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS2;286666.77214
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS3;272540.75326
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS4;278239.96845
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS5;285286.93661
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS6;284948.9317
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS7;277947.19823
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS8;279060.25534
2011-01-01;VLADKOMS;"ОАО ""Владимирские коммунальные системы""";17;PVLKSIS9;278820.6193
2011-01-01;VOLGOGEN;"ОАО ""Волгоградэнергосбыт""";18;PVOLGOGE;240742.28481
2011-01-01;VOLOGENE;"ОАО ""Вологдаэнергосбыт""";19;PVOLOGEN;279037.67584
2011-01-01;VORNEGEN;"ОАО ""Воронежская энергосбытовая компания""";20;PVORNEGE;283429.73271
2011-01-01;ELSKVATT;"ООО ""Электросбытовая компания ""Ватт-Электросбыт""";89;PWATTEL1;272021.2582
2011-01-01;YARENERG;"ОАО ""Ярославская сбытовая компания""";78;PYARENER;280970.19367
2011-02-01;ABAKANSB;"ООО ""Абаканэнергосбыт""";95;PABAKSB1;84167.978239
2011-02-01;ABAKANSB;"ООО ""Абаканэнергосбыт""";95;PABAKSB2;92864.430172
2011-02-01;ALEKSNSB;"ООО ""Алексинэнергосбыт""";70;PALEKSB1;222721.38632
2011-02-01;ALTAENSB;"ОАО ""Алтайэнергосбыт""";01;PALTENER;191290.28058
2011-02-01;ALTAENSB;"ОАО ""Алтайэнергосбыт""";84;PALTRESP;201915.75892
2011-02-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK1;244879.37705
2011-02-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK2;244214.73851
2011-02-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK3;243888.67827
2011-02-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK4;243451.7263
2011-02-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK5;243664.43339
2011-02-01;ARCTIKEN;"ООО ""Арктик-энерго""";47;PARKTIK6;245771.86522
2011-02-01;ASTRHENE;"ОАО ""Астраханская энергосбытовая компания""";12;PASTRHEN;215765.93265
2011-02-01;BALASHEL;"ЗАО ""Балашихинская электросеть""";46;PBALEST1;262282.72364
2011-02-01;BARNGORS;"ОАО ""Барнаульская горэлектросеть""";01;PBARELS1;207599.63791
2011-02-01;BASHKESK;"ООО ""Энергетическая сбытовая компания Башкортостана""";80;PBASHENE;223510.74346
2011-02-01;BELGOREN;"ОАО ""Белгородская сбытовая компания""";14;PBELGORE;226376.43799
2011-02-01;MPBORISO;"МУП ""Борисоглебская энергосбытовая организация""";20;PBORESB1;220990.46795
2011-02-01;BRYANENE;"ОАО ""Брянская сбытовая компания""";15;PBRYANEN;224886.1661
2011-02-01;BUDELSET;"МУП г.Буденновска ""Горэлектросеть""";07;PBUDGORS;218388.52577
2011-02-01;BURYATEN;"ОАО ""Бурятэнергоcбыт""";81;PBURYATE;137714.09595
2011-02-01;CHELENER;"ОАО ""Челябэнергосбыт""";75;PCHELENE;219695.30141
2011-02-01;CHITAENE;"ОАО ""Читинская энергосбытовая компания""";76200;PCHITAEN;235537.40307
2011-02-01;CHUVENER;"ОАО ""Чувашская энергосбытовая компания""";97;PCHUVENE;241738.27715
2011-02-01;DAGESBYT;"ОАО ""Дагестанская энергосбытовая компания""";82;PDAGENER;200222.08479
